Title,Link,Rating,Reviews,Lesson Count,Price,Image URL
Framework to Choose the Right LLM for your Business,https://courses.analyticsvidhya.com/courses/choosing-the-right-LLM-for-your-business,5,(1),6 Lessons,Free,https://import.cdn.thinkific.com/118220/A3lVcQcRRbKN9IBZANvV_cinematic-person-is-looking-customer-journey-map%201.jpg
Improving Real World RAG Systems: Key Challenges & Practical Solutions,https://courses.analyticsvidhya.com/courses/improving-real-world-rag-systems-key-challenges,5,(4),12 Lessons,Free,https://import.cdn.thinkific.com/118220/70WfAJhFRsyXXdLQcWIl_281762.jpg
Building Smarter LLMs with Mamba and State Space Model,https://courses.analyticsvidhya.com/courses/building-smarter-llms-with-mamba-and-state-space-model,0,N/A,14 Lessons,Free,https://import.cdn.thinkific.com/118220/FbdKUqgKSj2K80QgVl1z_THUMBNAIL%20(1).png
Generative AI - A Way of Life - Free Course,https://courses.analyticsvidhya.com/courses/genai-a-way-of-life,5,(10),31 Lessons,Free,https://import.cdn.thinkific.com/118220/0hkgoKCKTnKKxhQGAEIp_govind_av_httpss.mj.runER3kgo8rubs_based_on_this_theme_create_b2190701-9e82-47ea-b65a-c52d6de94e07_3.png
Getting Started with Large Language Models,https://courses.analyticsvidhya.com/courses/getting-started-with-llms,5,(22),18 Lessons,Free,https://import.cdn.thinkific.com/118220/TwSmk34ARlGMcQu4M8Co_A_Comprehensive_Learning_Path_to_Become_a_Data_Sc_265db306-1f93-496d-827e-0f1e534c9cf1.png
Building LLM Applications using Prompt Engineering - Free Course,https://courses.analyticsvidhya.com/courses/building-llm-applications-using-prompt-engineering-free,5,(8),18 Lessons,Free,https://import.cdn.thinkific.com/118220/GnpgN0uiTA1VO2MpQvTA_3.png
MidJourney: From Inspiration to Implementation - Free Course,https://courses.analyticsvidhya.com/courses/midjourney_from_inspiration_to_implementation,5,(2),5 Lessons,Free,https://import.cdn.thinkific.com/118220/NclAzDSwRwedON784y83_QZQvFaQFTFu4cFHZ0O5A_Midjourney%20(1).png
Building Your first RAG System using LlamaIndex - Free Course,https://courses.analyticsvidhya.com/courses/building-first-rag-systems-using-llamaindex,5,(9),12 Lessons,Free,https://import.cdn.thinkific.com/118220/HSr06pXxRTeF2Lpp6VQl_DALL%C2%B7E%202024-07-03%2011.42.42%20-%20A%20visually%20striking%20representation%20of%20a%20Retrieval-Augmented%20Generation%20(RAG)%20system%20using%20LlamaIndex.%20The%20image%20should%20have%20a%20dark%20background%20with%20int.png
Exploring Stability.AI - Free Course,https://courses.analyticsvidhya.com/courses/exploring-stability-ai,4,(2),7 Lessons,Free,https://import.cdn.thinkific.com/118220/imiRzsUqTwuQxv4wfyUb_mastering-stable-diffusion-thumbnail_2.png
N/A,N/A,0,N/A,N/A,N/A,N/A
Introduction to AI & ML,https://courses.analyticsvidhya.com/courses/introduction-to-ai-ml,5,(190),17 Lessons,Free,https://import.cdn.thinkific.com/118220/rlT6Q4O0SEafxqg4WmzL_Introduction_to_AI__ML_88145141-2c69-4ae8-9681-5d7201a38288%20(1).png
Introduction to Python,https://courses.analyticsvidhya.com/courses/introduction-to-data-science,5,(1580),69 Lessons,Free,https://import.cdn.thinkific.com/118220/QAUsjF0qSxCI7fsIrzhn_Algorithm_in_Python_and_R_1b947457-056e-4bfb-9a6f-ce614ebfe3c4.png
Machine Learning Certification Course for Beginners,https://courses.analyticsvidhya.com/courses/Machine-Learning-Certification-Course-for-Beginners,5,(533),261 Lessons,Free,https://import.cdn.thinkific.com/118220/NjFxaJVSFeAfMSHYoG9Q_Machine_Learning_for_Beginners_b896980a-b1d1-41bc-9bab-d8d3176daaf8.png
The Working of Neural Networks - Free Course,https://courses.analyticsvidhya.com/courses/The%20Working%20of%20Neural%20Networks,0,N/A,11 Lessons,Free,https://import.cdn.thinkific.com/118220/cu3qVXYTR7WEDj7eYQXS_unnamed.jpg
Understanding Linear Regression - Free Course,https://courses.analyticsvidhya.com/courses/free-understanding-linear-regression,5,(3),10 Lessons,Free,https://import.cdn.thinkific.com/118220/vK6lGCCqSsWtESgG69K1_Foundational%20ML%20Algorithms.png
Building a Text Classification Model with Natural Language Processing - Free Course,https://courses.analyticsvidhya.com/courses/free-building-textclassification-natural-language-processing,5,(1),16 Lessons,Free,https://import.cdn.thinkific.com/118220/YfA6OJ6ATeiwbbvvzb5h_NLP%20Banner.png
The A to Z of Unsupervised ML - Free Course,https://courses.analyticsvidhya.com/courses/free-unsupervised-ml-guide,0,N/A,13 Lessons,Free,https://import.cdn.thinkific.com/118220/a8FaIfN8SyfgOEhgzcHx_Getting_Started_with_Neural_Networks_307d8d11-d90e-45eb-8885-7d8f59fadc48.png
Bagging and Boosting ML Algorithms - Free Course,https://courses.analyticsvidhya.com/courses/bagging-boosting-ML-Algorithms,0,N/A,16 Lessons,Free,https://import.cdn.thinkific.com/118220/ZPH29GMrTey5gAaobwAH_Getting%20started%20with%20Decision%20Trees.jpg
Data Preprocessing on a Real-World Problem Statement - Free Course,https://courses.analyticsvidhya.com/courses/data-preprocessing,5,(3),13 Lessons,Free,https://import.cdn.thinkific.com/118220/2BmYWOASeye7uIgp3mHr_Building%20your%20first%20ML%20model.png
Introduction to Business Analytics,https://courses.analyticsvidhya.com/courses/introduction-to-analytics,5,(424),32 Lessons,Free,https://import.cdn.thinkific.com/118220/uQspaf6ESc6KPX6jkVrx_Introduction_to_Business_Analytics_fcacd85c-25ff-44bf-a74d-ee3aa66e51d4.png
Microsoft Excel: Formulas & Functions,https://courses.analyticsvidhya.com/courses/microsoft-excel-formulas-functions,5,(390),33 Lessons,Free,https://import.cdn.thinkific.com/118220/Fempx8fdSiumAPGK20Xp_thumb%20%282%29.jpg
Tableau for Beginners,https://courses.analyticsvidhya.com/courses/tableau-for-beginners,5,(240),17 Lessons,Free,https://import.cdn.thinkific.com/118220/UtXF4erQmuUVLtZz8TMA_tablu_thumb.jpg
Loan Prediction Practice Problem (Using Python),https://courses.analyticsvidhya.com/courses/loan-prediction-practice-problem-using-python,5,(358),16 Lessons,Free,https://import.cdn.thinkific.com/118220/pcauZ3ZqSWqrYXlYTd0w_Loan_Prediction_Practice_Problem_8dbf2aea-f3c8-42d4-bd27-87e738de5aac.png
Twitter Sentiment Analysis,https://courses.analyticsvidhya.com/courses/twitter-sentiment-analysis,5,(127),18 Lessons,Free,https://import.cdn.thinkific.com/118220/nwZ67Ta2R0SO6uI4mWBe_Twitter%20Sentiment%20Analysis.jpg
Introduction to Web Scraping using Python,https://courses.analyticsvidhya.com/courses/introduction-to-web-scraping,5,(96),13 Lessons,Free,https://import.cdn.thinkific.com/118220/AEt5RjqFTCeJJ8oIBn7s_thumb.jpg
Big Mart Sales Prediction Using R,https://courses.analyticsvidhya.com/courses/big-mart-sales-prediction-using-r,5,(80),19 Lessons,Free,https://import.cdn.thinkific.com/118220/t1hnCAcdT22pr7EEWQpW_Sales%20Prediction_thumb.jpg
Time Series Forecasting using Python,https://courses.analyticsvidhya.com/courses/creating-time-series-forecast-using-python,5,(209),22 Lessons,Free,https://import.cdn.thinkific.com/118220/jojmXPCwS6el6FYGilVC_time_seriesthumb.jpg
