Title,Link,Rating,Reviews,Lesson Count,Price,Image URL,Description,Curriculum,Title_Tokens,Reviews_Tokens,Description_Tokens,Curriculum_Tokens,Course_Summary,Title_Token_Count,Description_Token_Count,Curriculum_Token_Count
framework choose right llm business,https://courses.analyticsvidhya.com/courses/choosing-the-right-LLM-for-your-business,5,,6,0.0,import.cdn.thinkific.com,course guide process selecting suitable large language model llm various business need examining factor accuracy cost scalability integration understand different llm perform specific scenario customer support healthcare strategy development course emphasizes practical decision making real world case study helping business navigate rapidly evolving llm landscape effectively,introduction introduction llm world llm world understand business understand business framework choose right llm framework choose right llm case study case study conclusion conclusion,"['framework', 'choose', 'right', 'llm', 'business']",[],"['course', 'guide', 'process', 'selecting', 'suitable', 'large', 'language', 'model', 'llm', 'various', 'business', 'need', 'examining', 'factor', 'accuracy', 'cost', 'scalability', 'integration', 'understand', 'different', 'llm', 'perform', 'specific', 'scenario', 'customer', 'support', 'healthcare', 'strategy', 'development', 'course', 'emphasizes', 'practical', 'decision', 'making', 'real', 'world', 'case', 'study', 'helping', 'business', 'navigate', 'rapidly', 'evolving', 'llm', 'landscape', 'effectively']","['introduction', 'introduction', 'llm', 'world', 'llm', 'world', 'understand', 'business', 'understand', 'business', 'framework', 'choose', 'right', 'llm', 'framework', 'choose', 'right', 'llm', 'case', 'study', 'case', 'study', 'conclusion', 'conclusion']",framework choose right llm business course guide process selecting suitable large language model llm various business need examining factor accuracy cost scalability integration understand different llm perform specific scenario customer support healthcare strategy development course emphasizes practical decision making real world case study helping business navigate rapidly evolving llm landscape effectively introduction introduction llm world llm world understand business understand business framework choose right llm framework choose right llm case study case study conclusion conclusion,5,46,24
improving real world rag system key challenge practical solution,https://courses.analyticsvidhya.com/courses/improving-real-world-rag-systems-key-challenges,5,,12,0.0,import.cdn.thinkific.com,course explores key challenge building real world retrieval augmented generation rag system provides practical solution topic include improving data retrieval dealing hallucination context selection optimizing system performance using advanced prompting retrieval strategy evaluation technique hand demo gain insight better chunking embedding model agentic rag system robust real world application,improving real world rag system introduction rag system resource rag system challenge practical solution hand solution missing content rag key challenge practical solution hand solution missed top ranked context extracted _ incorrect specificityhands solution missed wrong format problem solution hand solution wrong format incomplete problem solution hyde practical solution recent research paper,"['improving', 'real', 'world', 'rag', 'system', 'key', 'challenge', 'practical', 'solution']",[],"['course', 'explores', 'key', 'challenge', 'building', 'real', 'world', 'retrieval', 'augmented', 'generation', 'rag', 'system', 'provides', 'practical', 'solution', 'topic', 'include', 'improving', 'data', 'retrieval', 'dealing', 'hallucination', 'context', 'selection', 'optimizing', 'system', 'performance', 'using', 'advanced', 'prompting', 'retrieval', 'strategy', 'evaluation', 'technique', 'hand', 'demo', 'gain', 'insight', 'better', 'chunking', 'embedding', 'model', 'agentic', 'rag', 'system', 'robust', 'real', 'world', 'application']","['improving', 'real', 'world', 'rag', 'system', 'introduction', 'rag', 'system', 'resource', 'rag', 'system', 'challenge', 'practical', 'solution', 'hand', 'solution', 'missing', 'content', 'rag', 'key', 'challenge', 'practical', 'solution', 'hand', 'solution', 'missed', 'top', 'ranked', 'context', 'extracted', '_', 'incorrect', 'specificityhands', 'solution', 'missed', 'wrong', 'format', 'problem', 'solution', 'hand', 'solution', 'wrong', 'format', 'incomplete', 'problem', 'solution', 'hyde', 'practical', 'solution', 'recent', 'research', 'paper']",improving real world rag system key challenge practical solution course explores key challenge building real world retrieval augmented generation rag system provides practical solution topic include improving data retrieval dealing hallucination context selection optimizing system performance using advanced prompting retrieval strategy evaluation technique hand demo gain insight better chunking embedding model agentic rag system robust real world application improving real world rag system introduction rag system resource rag system challenge practical solution hand solution missing content rag key challenge practical solution hand solution missed top ranked context extracted _ incorrect specificityhands solution missed wrong format problem solution hand solution wrong format incomplete problem solution hyde practical solution recent research paper,9,49,52
building smarter llm mamba state space model,https://courses.analyticsvidhya.com/courses/building-smarter-llms-with-mamba-and-state-space-model,0,nan,14,0.0,import.cdn.thinkific.com,unlock power state space model ssm like mamba comprehensive course designed ai professional data scientist nlp enthusiast master art integrating ssm deep learning unravel complexity model like mamba elevate understanding generative ai newest innovative model course designed equip skill needed understand cutting edge ai model work making proficient latest ai technique architecture,course overview course overview alternative transformer rnns solution problem transformer understanding state space model state space model discrete representation recurrent representation convolution representation three representation importance matrix mamba selective state space model problem attempt solve selectively retaining information speeding computation exploring mamba block jamba mixing mamba transformer,"['building', 'smarter', 'llm', 'mamba', 'state', 'space', 'model']",['nan'],"['unlock', 'power', 'state', 'space', 'model', 'ssm', 'like', 'mamba', 'comprehensive', 'course', 'designed', 'ai', 'professional', 'data', 'scientist', 'nlp', 'enthusiast', 'master', 'art', 'integrating', 'ssm', 'deep', 'learning', 'unravel', 'complexity', 'model', 'like', 'mamba', 'elevate', 'understanding', 'generative', 'ai', 'newest', 'innovative', 'model', 'course', 'designed', 'equip', 'skill', 'needed', 'understand', 'cutting', 'edge', 'ai', 'model', 'work', 'making', 'proficient', 'latest', 'ai', 'technique', 'architecture']","['course', 'overview', 'course', 'overview', 'alternative', 'transformer', 'rnns', 'solution', 'problem', 'transformer', 'understanding', 'state', 'space', 'model', 'state', 'space', 'model', 'discrete', 'representation', 'recurrent', 'representation', 'convolution', 'representation', 'three', 'representation', 'importance', 'matrix', 'mamba', 'selective', 'state', 'space', 'model', 'problem', 'attempt', 'solve', 'selectively', 'retaining', 'information', 'speeding', 'computation', 'exploring', 'mamba', 'block', 'jamba', 'mixing', 'mamba', 'transformer']",building smarter llm mamba state space model unlock power state space model ssm like mamba comprehensive course designed ai professional data scientist nlp enthusiast master art integrating ssm deep learning unravel complexity model like mamba elevate understanding generative ai newest innovative model course designed equip skill needed understand cutting edge ai model work making proficient latest ai technique architecture course overview course overview alternative transformer rnns solution problem transformer understanding state space model state space model discrete representation recurrent representation convolution representation three representation importance matrix mamba selective state space model problem attempt solve selectively retaining information speeding computation exploring mamba block jamba mixing mamba transformer,7,52,47
generative ai way life free course,https://courses.analyticsvidhya.com/courses/genai-a-way-of-life,5,,31,0.0,import.cdn.thinkific.com,course transformative journey tailored beginner delf ai powered text image generation using leading tool like chatgpt microsoft copilot dall e learn practical application across industry ethical consideration best practice whether content creator business innovator ai enthusiast gain expertise harness generative ai full potential drive innovation field,introduction generative ai fundamental generative ai generative ai generative ai work exploring potential generative ai genai pinnacle program hand let get generating text generation using generative ai overview text generation chatgpt working chatgpt working chatgpt plus build custom gpt working microsoft copilot working google gemini gen ai pinnacle ad learning art prompting creating chatbot ethic best practice image generation using generative ai introduction image generation exploring potential image generation working free image generation tool working clipdrop working bing image creator working firefly working paid image generative tool working paid image generative tool dreamstudio working dalle working midjourney gen ai pinnacle ad prompting way art accomplishing task image generation e ethic efficiency,"['generative', 'ai', 'way', 'life', 'free', 'course']",[],"['course', 'transformative', 'journey', 'tailored', 'beginner', 'delf', 'ai', 'powered', 'text', 'image', 'generation', 'using', 'leading', 'tool', 'like', 'chatgpt', 'microsoft', 'copilot', 'dall', 'e', 'learn', 'practical', 'application', 'across', 'industry', 'ethical', 'consideration', 'best', 'practice', 'whether', 'content', 'creator', 'business', 'innovator', 'ai', 'enthusiast', 'gain', 'expertise', 'harness', 'generative', 'ai', 'full', 'potential', 'drive', 'innovation', 'field']","['introduction', 'generative', 'ai', 'fundamental', 'generative', 'ai', 'generative', 'ai', 'generative', 'ai', 'work', 'exploring', 'potential', 'generative', 'ai', 'genai', 'pinnacle', 'program', 'hand', 'let', 'get', 'generating', 'text', 'generation', 'using', 'generative', 'ai', 'overview', 'text', 'generation', 'chatgpt', 'working', 'chatgpt', 'working', 'chatgpt', 'plus', 'build', 'custom', 'gpt', 'working', 'microsoft', 'copilot', 'working', 'google', 'gemini', 'gen', 'ai', 'pinnacle', 'ad', 'learning', 'art', 'prompting', 'creating', 'chatbot', 'ethic', 'best', 'practice', 'image', 'generation', 'using', 'generative', 'ai', 'introduction', 'image', 'generation', 'exploring', 'potential', 'image', 'generation', 'working', 'free', 'image', 'generation', 'tool', 'working', 'clipdrop', 'working', 'bing', 'image', 'creator', 'working', 'firefly', 'working', 'paid', 'image', 'generative', 'tool', 'working', 'paid', 'image', 'generative', 'tool', 'dreamstudio', 'working', 'dalle', 'working', 'midjourney', 'gen', 'ai', 'pinnacle', 'ad', 'prompting', 'way', 'art', 'accomplishing', 'task', 'image', 'generation', 'e', 'ethic', 'efficiency']",generative ai way life free course course transformative journey tailored beginner delf ai powered text image generation using leading tool like chatgpt microsoft copilot dall e learn practical application across industry ethical consideration best practice whether content creator business innovator ai enthusiast gain expertise harness generative ai full potential drive innovation field introduction generative ai fundamental generative ai generative ai generative ai work exploring potential generative ai genai pinnacle program hand let get generating text generation using generative ai overview text generation chatgpt working chatgpt working chatgpt plus build custom gpt working microsoft copilot working google gemini gen ai pinnacle ad learning art prompting creating chatbot ethic best practice image generation using generative ai introduction image generation exploring potential image generation working free image generation tool working clipdrop working bing image creator working firefly working paid image generative tool working paid image generative tool dreamstudio working dalle working midjourney gen ai pinnacle ad prompting way art accomplishing task image generation e ethic efficiency,6,46,111
getting started large language model,https://courses.analyticsvidhya.com/courses/getting-started-with-llms,5,,18,0.0,import.cdn.thinkific.com,course help gain comprehensive understanding large language model llm develop advanced natural language processing nlp application using pytorch framework carefully curated list resource exercise course guide becoming expert llm master technique build fine tune llm generate human like text,introduction course objective course handout exponential growth evolution nlp evolution nlp symbolic nlp evolution nlp statistical nlp evolution nlp deep learning evolution nlp deep learning era ii evolution nlp tranformers evolution quiz large language model introduction large language model large language model understanding foundational model different type llm based response different type llm based model architecture quiz current state art llm current state art llm generative ai glossary generative ai glossary feedback matter feedback matter,"['getting', 'started', 'large', 'language', 'model']",[],"['course', 'help', 'gain', 'comprehensive', 'understanding', 'large', 'language', 'model', 'llm', 'develop', 'advanced', 'natural', 'language', 'processing', 'nlp', 'application', 'using', 'pytorch', 'framework', 'carefully', 'curated', 'list', 'resource', 'exercise', 'course', 'guide', 'becoming', 'expert', 'llm', 'master', 'technique', 'build', 'fine', 'tune', 'llm', 'generate', 'human', 'like', 'text']","['introduction', 'course', 'objective', 'course', 'handout', 'exponential', 'growth', 'evolution', 'nlp', 'evolution', 'nlp', 'symbolic', 'nlp', 'evolution', 'nlp', 'statistical', 'nlp', 'evolution', 'nlp', 'deep', 'learning', 'evolution', 'nlp', 'deep', 'learning', 'era', 'ii', 'evolution', 'nlp', 'tranformers', 'evolution', 'quiz', 'large', 'language', 'model', 'introduction', 'large', 'language', 'model', 'large', 'language', 'model', 'understanding', 'foundational', 'model', 'different', 'type', 'llm', 'based', 'response', 'different', 'type', 'llm', 'based', 'model', 'architecture', 'quiz', 'current', 'state', 'art', 'llm', 'current', 'state', 'art', 'llm', 'generative', 'ai', 'glossary', 'generative', 'ai', 'glossary', 'feedback', 'matter', 'feedback', 'matter']",getting started large language model course help gain comprehensive understanding large language model llm develop advanced natural language processing nlp application using pytorch framework carefully curated list resource exercise course guide becoming expert llm master technique build fine tune llm generate human like text introduction course objective course handout exponential growth evolution nlp evolution nlp symbolic nlp evolution nlp statistical nlp evolution nlp deep learning evolution nlp deep learning era ii evolution nlp tranformers evolution quiz large language model introduction large language model large language model understanding foundational model different type llm based response different type llm based model architecture quiz current state art llm current state art llm generative ai glossary generative ai glossary feedback matter feedback matter,5,39,75
building llm application using prompt engineering free course,https://courses.analyticsvidhya.com/courses/building-llm-applications-using-prompt-engineering-free,5,,18,0.0,import.cdn.thinkific.com,course provide hand understanding building llm application mastering prompt engineering technique end course proficient implementing fine tuning technique enhance generative ai model performance learn apply various prompting method build chatbots enterprise data equipping skill improve conversational ai system real world project,build diffferent llm appiications introduction building different llm application prompt engineering retrieval augmented generation finetuning llm training llm scratch quiz getting started prompt engineering course handout introduction prompt engineering set machine prompt engineering prompt engineering chatgpt api enabling conversation chatgpt api quiz understanding different prompt engineering technique introduction understanding different prompt engineering technique shot prompting one shot prompting zero shot prompting quiz assignment,"['building', 'llm', 'application', 'using', 'prompt', 'engineering', 'free', 'course']",[],"['course', 'provide', 'hand', 'understanding', 'building', 'llm', 'application', 'mastering', 'prompt', 'engineering', 'technique', 'end', 'course', 'proficient', 'implementing', 'fine', 'tuning', 'technique', 'enhance', 'generative', 'ai', 'model', 'performance', 'learn', 'apply', 'various', 'prompting', 'method', 'build', 'chatbots', 'enterprise', 'data', 'equipping', 'skill', 'improve', 'conversational', 'ai', 'system', 'real', 'world', 'project']","['build', 'diffferent', 'llm', 'appiications', 'introduction', 'building', 'different', 'llm', 'application', 'prompt', 'engineering', 'retrieval', 'augmented', 'generation', 'finetuning', 'llm', 'training', 'llm', 'scratch', 'quiz', 'getting', 'started', 'prompt', 'engineering', 'course', 'handout', 'introduction', 'prompt', 'engineering', 'set', 'machine', 'prompt', 'engineering', 'prompt', 'engineering', 'chatgpt', 'api', 'enabling', 'conversation', 'chatgpt', 'api', 'quiz', 'understanding', 'different', 'prompt', 'engineering', 'technique', 'introduction', 'understanding', 'different', 'prompt', 'engineering', 'technique', 'shot', 'prompting', 'one', 'shot', 'prompting', 'zero', 'shot', 'prompting', 'quiz', 'assignment']",building llm application using prompt engineering free course course provide hand understanding building llm application mastering prompt engineering technique end course proficient implementing fine tuning technique enhance generative ai model performance learn apply various prompting method build chatbots enterprise data equipping skill improve conversational ai system real world project build diffferent llm appiications introduction building different llm application prompt engineering retrieval augmented generation finetuning llm training llm scratch quiz getting started prompt engineering course handout introduction prompt engineering set machine prompt engineering prompt engineering chatgpt api enabling conversation chatgpt api quiz understanding different prompt engineering technique introduction understanding different prompt engineering technique shot prompting one shot prompting zero shot prompting quiz assignment,8,41,63
midjourney inspiration implementation free course,https://courses.analyticsvidhya.com/courses/midjourney_from_inspiration_to_implementation,5,,5,0.0,import.cdn.thinkific.com,course provide practical understanding midjourney tool end course able utilize midjourney effectively explore alternative tool creative project learn draw inspiration use midjourney feature understand application engaging lesson,midjourney midjourney storm _ story midjourney inspiration midjourney use midjourney alternative quiz,"['midjourney', 'inspiration', 'implementation', 'free', 'course']",[],"['course', 'provide', 'practical', 'understanding', 'midjourney', 'tool', 'end', 'course', 'able', 'utilize', 'midjourney', 'effectively', 'explore', 'alternative', 'tool', 'creative', 'project', 'learn', 'draw', 'inspiration', 'use', 'midjourney', 'feature', 'understand', 'application', 'engaging', 'lesson']","['midjourney', 'midjourney', 'storm', '_', 'story', 'midjourney', 'inspiration', 'midjourney', 'use', 'midjourney', 'alternative', 'quiz']",midjourney inspiration implementation free course course provide practical understanding midjourney tool end course able utilize midjourney effectively explore alternative tool creative project learn draw inspiration use midjourney feature understand application engaging lesson midjourney midjourney storm _ story midjourney inspiration midjourney use midjourney alternative quiz,5,27,12
building first rag system using llamaindex free course,https://courses.analyticsvidhya.com/courses/building-first-rag-systems-using-llamaindex,5,,12,0.0,import.cdn.thinkific.com,course guide youthrough building first retrieval augmented generation rag systemusing llamaindex start data ingestion loading file system followed indexing data efficient retrieval next set retrieval configuration use response synthesizer combine data coherent response finally employ query engine generate response end course solid understanding process able build rag system using llamaindex code effectively,introduction rag system welcome course rag rag system overview rag framework quiz course handout getting started llamaindex introduction llamaindex component llamaindex reading material get api key get open ai key min website go build first rag system using llamaindex quiz,"['building', 'first', 'rag', 'system', 'using', 'llamaindex', 'free', 'course']",[],"['course', 'guide', 'youthrough', 'building', 'first', 'retrieval', 'augmented', 'generation', 'rag', 'systemusing', 'llamaindex', 'start', 'data', 'ingestion', 'loading', 'file', 'system', 'followed', 'indexing', 'data', 'efficient', 'retrieval', 'next', 'set', 'retrieval', 'configuration', 'use', 'response', 'synthesizer', 'combine', 'data', 'coherent', 'response', 'finally', 'employ', 'query', 'engine', 'generate', 'response', 'end', 'course', 'solid', 'understanding', 'process', 'able', 'build', 'rag', 'system', 'using', 'llamaindex', 'code', 'effectively']","['introduction', 'rag', 'system', 'welcome', 'course', 'rag', 'rag', 'system', 'overview', 'rag', 'framework', 'quiz', 'course', 'handout', 'getting', 'started', 'llamaindex', 'introduction', 'llamaindex', 'component', 'llamaindex', 'reading', 'material', 'get', 'api', 'key', 'get', 'open', 'ai', 'key', 'min', 'website', 'go', 'build', 'first', 'rag', 'system', 'using', 'llamaindex', 'quiz']",building first rag system using llamaindex free course course guide youthrough building first retrieval augmented generation rag systemusing llamaindex start data ingestion loading file system followed indexing data efficient retrieval next set retrieval configuration use response synthesizer combine data coherent response finally employ query engine generate response end course solid understanding process able build rag system using llamaindex code effectively introduction rag system welcome course rag rag system overview rag framework quiz course handout getting started llamaindex introduction llamaindex component llamaindex reading material get api key get open ai key min website go build first rag system using llamaindex quiz,8,52,40
exploring stability ai free course,https://courses.analyticsvidhya.com/courses/exploring-stability-ai,4,,7,0.0,import.cdn.thinkific.com,course give practical understanding stability ai tool end course able deploy customize sd webui use automatic webui runpod gpu environment learn install set generate fine tune sd webui setting equipping skill harness stability ai full potential project,mastering stability ai tool introduction stability use stability ai tool review deployment option sd webui automatic webui runpod gpu environment sd webui hand installation setup sd webui hand generation setting quiz,"['exploring', 'stability', 'ai', 'free', 'course']",[],"['course', 'give', 'practical', 'understanding', 'stability', 'ai', 'tool', 'end', 'course', 'able', 'deploy', 'customize', 'sd', 'webui', 'use', 'automatic', 'webui', 'runpod', 'gpu', 'environment', 'learn', 'install', 'set', 'generate', 'fine', 'tune', 'sd', 'webui', 'setting', 'equipping', 'skill', 'harness', 'stability', 'ai', 'full', 'potential', 'project']","['mastering', 'stability', 'ai', 'tool', 'introduction', 'stability', 'use', 'stability', 'ai', 'tool', 'review', 'deployment', 'option', 'sd', 'webui', 'automatic', 'webui', 'runpod', 'gpu', 'environment', 'sd', 'webui', 'hand', 'installation', 'setup', 'sd', 'webui', 'hand', 'generation', 'setting', 'quiz']",exploring stability ai free course course give practical understanding stability ai tool end course able deploy customize sd webui use automatic webui runpod gpu environment learn install set generate fine tune sd webui setting equipping skill harness stability ai full potential project mastering stability ai tool introduction stability use stability ai tool review deployment option sd webui automatic webui runpod gpu environment sd webui hand installation setup sd webui hand generation setting quiz,5,37,31
,,0,nan,,,,,,[],['nan'],[],[],  ,0,0,0
